Date,Open,High,Low,Close,Adj Close,Volume
"Nov 29 2024",336.08,345.45,334.65,345.16,345.16,37167600
"Nov 27 2024",341.80,342.55,326.59,332.89,332.89,57896400
"Nov 26 2024",341.00,346.96,335.66,338.23,338.23,62295900
"Nov 25 2024",360.14,361.93,338.20,338.59,338.59,95890900
"Nov 22 2024",341.09,361.53,337.70,352.56,352.56,89140700
"Nov 21 2024",343.81,347.99,335.28,339.64,339.64,58011700
"Nov 20 2024",345.00,346.60,334.30,342.03,342.03,66340700
"Nov 19 2024",335.76,347.38,332.75,346.00,346.00,88852500
"Nov 18 2024",340.73,348.55,330.01,338.74,338.74,126547500
"Nov 15 2024",310.57,324.68,309.22,320.72,320.72,114440300
"Nov 14 2024",327.69,329.98,310.37,311.18,311.18,120726100
"Nov 13 2024",335.85,344.60,322.50,330.24,330.24,125405600
"Nov 12 2024",342.74,345.84,323.31,328.49,328.49,155726000
"Nov 11 2024",346.30,358.64,336.00,350.00,350.00,210521600
"Nov 8 2024",299.14,328.71,297.66,321.22,321.22,204782800
"Nov 7 2024",288.89,299.75,285.52,296.91,296.91,117309200
"Nov 6 2024",284.67,289.59,275.62,288.53,288.53,165228700
"Nov 5 2024",247.34,255.28,246.21,251.44,251.44,69282500
"Nov 4 2024",244.56,248.90,238.88,242.84,242.84,68802400
"Nov 1 2024",252.04,254.00,246.63,248.98,248.98,57544800
